"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"3a2c5d5d","Mezclas","2025-12-05 15:50:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3a5e6aee","Mezclas","2025-03-26 15:15:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3b0b1f98","Mezclas","2024-11-23 14:22:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3b41f99a","INSUMOS","2026-01-07 15:09:00","ENTRADAS","$9,297,640.00","$646,360.00",NULL,NULL
"3b5afc59","Paletas y aros","2024-11-30 10:16:00","ENTRADAS","$54,000.00","$0.00",NULL,NULL
"3b7dc66e","Insumos que ya no hay","2025-01-11 14:42:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3c91b1e5","Mezclas","2025-04-04 14:18:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3ca2bf9c","Vasos","2025-07-02 21:07:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"3ceb5bf9","Mezclas","2025-07-25 14:21:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3cfd0555","Chicle","2024-11-09 16:32:00","ENTRADAS","$164,200.00","$200.00",NULL,NULL
"3d8ff163","Mezclas","2025-11-20 14:12:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3da1d6cf","Vasos, oka loca y demás","2025-05-30 08:24:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"3e14286d","Mezclas","2024-11-06 14:10:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3eb0aa0f","Mezclas","2025-12-19 14:58:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3f4fa90d","Mezclas","2025-08-07 14:18:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3f4fee02","Mezclas cali","2025-07-24 14:42:00","ENTRADAS","$7,291,130.00","$506,870.00",NULL,NULL
"4121d63e","Mezclas","2025-06-18 15:22:00","SALIDAS","$0.00","$0.00",NULL,NULL
